term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
HHSize,7.999471728138122e-5,9.080705668203645e-4,0.08809306259257477,0.9298124070548095,-0.0017009759355140672,0.0018609653700768294,FES_w
HHH_Sex,-0.03921618265979267,0.010900392545780164,-3.5976853581272454,3.2964341749541895e-4,-0.060594784651002334,-0.017837580668582997,FES_w
HHH_Age,2.8305252082129126e-4,2.48569858073558e-4,1.1387242323545481,0.25496813729914924,-2.0445983622894117e-4,7.705648778715237e-4,FES_w
earners,-0.0032500664455014563,0.0024068127894335766,-1.3503611331009806,0.1770681518343072,-0.00797047375895852,0.001470340867955608,FES_w
